CODICEISBN,CODICESCUOLA_ANNOCORSO_SEZIONEANNO
9788809930087,"LTEE847025_1A, LTEE847025_2A, LTEE847025_3A, LTEE847025_1B, LTEE847025_2B, LTEE847025_3B"
9788847242463,"LTEE847025_1A, LTEE847025_1B"
9791220405362,"LTEE847025_1A, LTEE847025_1B"
9788809919693,"LTEE847025_2A, LTEE847025_2B"
9791220409155,"LTEE847025_2A, LTEE847025_2B"
9788891573896,"LTEE847025_3A, LTEE847025_3B"
9788846843739,"LTEE847025_3A, LTEE847025_3B"
9788809930094,"LTEE847025_4A, LTEE847025_4B"
9788883398223,"LTEE847025_4A, LTEE847025_4B"
9788847307414,"LTEE847025_4A, LTEE847025_4B"
9788847307421,"LTEE847025_4A, LTEE847025_4B"
9788847307391,"LTEE847025_4A, LTEE847025_4B"
9788851910532,"LTEE847025_5A, LTEE847025_5B"
9788853640031,"LTEE847025_5A, LTEE847025_5B"
9788847239241,"LTEE847025_5A, LTEE847025_5B"
9788891594815,"LTEE847025_5A, LTEE847025_5B"
9788846844699,"LTEE847025_5A, LTEE847025_5B"
9788809971042,"LTEE847025_5A, LTEE847025_5B"
9788808573407,RMPS10000A_2B
9788808976345,"RMPS10000A_2B, RMPS10000A_2C, RMPS10000A_2A CM, RMPS10000A_1E, RMPS10000A_1H, RMPS10000A_2E, RMPS10000A_2F, RMPS10000A_2H, RMPS10000A_2A, RMPS10000A_1B, RMPS10000A_2G, RMPS10000A_1D, RMPS10000A_1F, RMPS10000A_2D, RMPS10000A_1C, RMPS10000A_1G, RMPS10000A_1A, RMPS10000A_1ACM"
9788808811158,"RMPS10000A_2B, RMPS10000A_2C, RMPS10000A_2A CM, RMPS10000A_3G, RMPS10000A_3B, RMPS10000A_4B, RMPS10000A_2A, RMPS10000A_4G, RMPS10000A_2G, RMPS10000A_4C, RMPS10000A_3C"
9788884961389,"RMPS10000A_2B, RMPS10000A_1E, RMPS10000A_3G, RMPS10000A_2E, RMPS10000A_3B, RMPS10000A_3E, RMPS10000A_4G, RMPS10000A_1B, RMPS10000A_2G, RMPS10000A_1G"
9788805077212,"RMPS10000A_2B, RMPS10000A_2C, RMPS10000A_2A CM, RMPS10000A_5H, RMPS10000A_3H, RMPS10000A_2E, RMPS10000A_2F, RMPS10000A_3B, RMPS10000A_2H, RMPS10000A_3D, RMPS10000A_3F, RMPS10000A_3E, RMPS10000A_4B, RMPS10000A_2A, RMPS10000A_4F, RMPS10000A_3A cm, RMPS10000A_2G, RMPS10000A_4C, RMPS10000A_4A CM, RMPS10000A_4H, RMPS10000A_5B, RMPS10000A_5A CM, RMPS10000A_5C, RMPS10000A_5F, RMPS10000A_4I, RMPS10000A_2D, RMPS10000A_3A, RMPS10000A_3C"
9788826824512,RMPS10000A_2C
9788842673972,"RMPS10000A_2C, RMPS10000A_2A CM, RMPS10000A_2D"
9788869106972,"RMPS10000A_2C, RMPS10000A_1C"
9788838329241,RMPS10000A_2C
9781009091176,"RMPS10000A_2C, RMPS10000A_2D, RMPS10000A_2B"
9788808712370,RMPS10000A_2C
9781108339186,"RMPS10000A_2C, RMPS10000A_2A CM, RMPS10000A_1B, RMPS10000A_1D, RMPS10000A_2D, RMPS10000A_1C, RMPS10000A_2B, RMPS10000A_1ACM"
9788808808820,"RMPS10000A_2C, RMPS10000A_2A CM, RMPS10000A_2F, RMPS10000A_2E, RMPS10000A_2H, RMPS10000A_2A, RMPS10000A_2G, RMPS10000A_2D, RMPS10000A_2B"
9788893794442,"RMPS10000A_2C, RMPS10000A_2A CM, RMPS10000A_1E, RMPS10000A_2E, RMPS10000A_1B, RMPS10000A_2G, RMPS10000A_1D, RMPS10000A_2D, RMPS10000A_1C, RMPS10000A_1G, RMPS10000A_2B"
9781108936767,"RMPS10000A_2C, RMPS10000A_3B, RMPS10000A_3D, RMPS10000A_4C, RMPS10000A_2D, RMPS10000A_3C, RMPS10000A_1C, RMPS10000A_2B, RMPS10000A_1ACM"
9788808399885,"RMPS10000A_2C, RMPS10000A_2E, RMPS10000A_2F, RMPS10000A_2H, RMPS10000A_2A, RMPS10000A_2G, RMPS10000A_2D"
9788839302151,"RMPS10000A_2C, RMPS10000A_4D, RMPS10000A_3D, RMPS10000A_4E, RMPS10000A_5D, RMPS10000A_2D, RMPS10000A_5E"
9788824763189,"RMPS10000A_1E, RMPS10000A_1A, RMPS10000A_2A CM"
