ISBN,Titolo,Materia,Listino,EDITORE,Qta tot,Qta non venduti
9788809930087,UN CIELO A COLORI CL. 1-2-3,RELIGIONE,8.19,GIUNTI SCUOLA,,
9788847242463,HELLO WORLD 1,LINGUA INGLESE,4.02,CELTIC PUBLISHING,,
9791220405362,MINIMONDO - CLASSE 1A: CONFEZIONE TUTTO MAIUSCOLO,IL LIBRO DELLA PRIMA CLASSE,13.34,A. MONDADORI SCUOLA,,
9788809919693,ENGLISH BEAT CL. 2,LINGUA INGLESE,6.03,GIUNTI ELT,,
9791220409155,QUA LA ZAMPA! - VOLUME 2,SUSSIDIARIO (1° BIENNIO),18.69,A. MONDADORI SCUOLA,,
9788891573896,PLAY ON! GOLD - CLASSE TERZA,LINGUA INGLESE,8.06,FABBRI SCUOLA,,
9788846843739,FESTA A SORPRESA 3,SUSSIDIARIO (1° BIENNIO),26.71,LA SPIGA,,
9788809930094,UN CIELO A COLORI CL. 4-5,RELIGIONE,8.19,GIUNTI SCUOLA,,
9788883398223,GO KIDS GOLD 4,LINGUA INGLESE,8.06,PEARSON LONGMAN,,
9788847307414,NEL CUORE DEI SAPERI STO-GEO 4,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),10.73,CETEM,,
9788847307421,NEL CUORE DEI SAPERI MATE-SCI 4,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),10.73,CETEM,,
9788847307391,NEL CUORE DELLE PAROLE 4,SUSSIDIARIO DEI LINGUAGGI,17.28,CETEM,,
9788851910532,VALLE DEL CEDRO (LA) - 2° CICLO: VOLUME CLASSE 4A + VOLUME CLASSE 5A + VANGELO,RELIGIONE,8.19,PIEMME SCUOLA,,
9788853640031,THE STORY GARDEN PREMIUM 5,LINGUA INGLESE,10.08,ELI,,
9788847239241,SCOPRO STUDIANDO 5 AREA STORIA/GEOGRAFIA,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),12.50,RAFFAELLO,,
9788891594815,GEA CLASSE 5 TOMO SCIENTIFICO - SUSSIDIARIO DELLE DISCIPLINE,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),12.50,FABBRI SCUOLA,,
9788846844699,MISSIONE COMPIUTA! PLUS LETTURE 5,SUSSIDIARIO DEI LINGUAGGI,20.96,LA SPIGA,,
9788809971042,INTORNO A NOI CLASSE 4-5,ADOZIONE ALTERNATIVA ART. 156 D.L. 297/94,8.05,GIUNTI SCUOLA,,
9788808573407,NUOVA BIOLOGIA.BLU 2ED. (LA) - LA BIOSFERA E LA CELLULA PLUS (LDM),"SCIENZE NATURALI (BIOLOGIA, CHIMICA, SCIENZE DELLA TERRA)",24.50,ZANICHELLI EDITORE,,
9788808976345,ITINERARIO NELL'ARTE EDIZIONE VERDE 5ED - VOLUME 1 (LDM) - DALLA PREISTORIA A GIOTTO,STORIA DELL'ARTE,37.30,ZANICHELLI EDITORE,,
9788808811158,DISEGNO E RAPPRESENTAZIONE 4ED. - EBOOK MULT. VOL. U (ONLINE E OFFLINE),DISEGNO,25.20,ZANICHELLI EDITORE,,
9788884961389,TRAINING4LIFE,SCIENZE MOTORIE E SPORTIVE,21.50,CLIO,,
9788805077212,VITA DAVANTI A NOI (LA) - CON NULLA OSTA CEI,RELIGIONE CATTOLICA/ATTIVITA' ALTERNATIVA,19.90,SEI,,
9788826824512,TUTTI I SOGNI DEL MONDO - POESIA E TEATRO,LINGUA E LETTERATURA ITALIANA,21.50,ATLAS,,
9788842673972,PROMESSI SPOSI (I) + LIBRO DIGITALE - EDIZIONE 2017,LINGUA E LETTERATURA ITALIANA,30.10,IL CAPITELLO,,
9788869106972,LE PAROLE SONO IDEE. EDIZIONE VERDE - GRAMMATICA - LESSICO - SCRITTURA,LINGUA E LETTERATURA ITALIANA,29.40,B.MONDADORI,,
9788838329241,LATINA ARBOR LIBRO MISTO CON LIBRO DIGITALE - ESERCIZI 2 CON HUB YOUNG E HUB KIT,LINGUA LATINA,28.10,SANSONI PER LA SCUOLA,,
